"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 12 15:41:38 GMT 2025","Wed Feb 12 15:41:38 GMT 2025","1","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Wed Feb 12 15:41:38 GMT 2025","Wed Feb 12 15:41:38 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Wed Feb 12 15:41:38 GMT 2025","Wed Feb 12 15:41:38 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Feb 12 15:41:28 GMT 2025","Wed Feb 12 15:41:29 GMT 2025","1344","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 15:41:32 GMT 2025","Wed Feb 12 15:41:33 GMT 2025","1493","tests.authentication","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Wed Feb 12 15:41:29 GMT 2025","Wed Feb 12 15:41:31 GMT 2025","1274","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 15:41:33 GMT 2025","Wed Feb 12 15:41:34 GMT 2025","1160","tests.authentication","test_registration","TestRegistration","","","Registration with correct email, username and password",""
"passed","Wed Feb 12 15:41:28 GMT 2025","Wed Feb 12 15:41:30 GMT 2025","2767","tests.authentication","test_authorization","TestAuthorization","","","User login with correct email and password",""
"passed","Wed Feb 12 15:41:36 GMT 2025","Wed Feb 12 15:41:38 GMT 2025","2034","tests.courses","test_courses","TestCourses","","","Create course",""
"passed","Wed Feb 12 15:41:38 GMT 2025","Wed Feb 12 15:41:38 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Wed Feb 12 15:41:36 GMT 2025","Wed Feb 12 15:41:37 GMT 2025","1261","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Wed Feb 12 15:41:31 GMT 2025","Wed Feb 12 15:41:33 GMT 2025","1498","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 15:41:35 GMT 2025","Wed Feb 12 15:41:36 GMT 2025","996","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Wed Feb 12 15:41:38 GMT 2025","Wed Feb 12 15:41:38 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Wed Feb 12 15:41:38 GMT 2025","Wed Feb 12 15:41:38 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
